sentence,tag
你平时爱吃啥呀,其他
我日你妈你怎么不讲快讲,其他
不想理你,其他
你不是吹牛吗,其他
能让我有什么灵感呢,其他
我的名字是达拉赞布,其他
@JOJO北京 @陈晶晶+北京 午餐晚餐都吃啥啦,其他
我想做点什么事约束自己啊，可是玩的心太强,其他
表情是挺可爱的.呵呵,高兴
跟你爱哥![嘻嘻],其他
你说说啥呀,其他
你有什么不懂的,其他
什么是脏梗，我这夸你,其他
你还懂这些吗？,其他
这是我的本人的悲哀,其他
你看了什么电视剧,其他
你的体重都不用再减了，保持体重，多做力量，线条练出来就特别好了,其他
啥时候给我唱歌,其他
本机安装信息功能位置是什么,其他
就是我啦啦啦,其他
恩看过什么片子呀,其他
没有离别的飞吻,其他
人生没意思,其他
你的心情怎么样？,其他
清空自己？,其他
你是党员吗？,其他
我叫陈俊希,其他
请,其他
好的，请先把钱打给我,其他
我那我哪天生日，和你说过,其他
大哥,其他
我不开心，你为什么不开心？,其他
好好哒  红红哒,其他
小影你喜欢干什么？,其他
你叫贝小七？,其他
阿银留下来的最后一件工作,其他
施以天诛,其他
是不是很久没跟我聊天啊,其他
周杰轮和周杰伦周杰伦关系,其他
我说电电影了,其他
交给人支是不是可以分流了,其他
公主你会发光么,其他
能破吗？,其他
哈哈小鸡。,其他
我的生日是1997年7月14日,其他
你有微信号吗,其他
你这是在跟我怄气啊,其他
我约你去吃饭可以吗？,其他
还在马小营,其他
你当然不会呢。你是女孩子嘛:,其他
和我谈朋友吗？,其他
谁将是无穷,其他
你是污妖王,其他
你会开小黄车吗？,其他
我是男的还是女的呀,其他
@李岩 北京 牛肉肥的不吃，你这个牛肉有多少呢？,其他
唉,其他
傻子,其他
哈哈，听我说‘好’的语气，就像似曾相识的老朋友，是吗？,其他
云岗集镇的包会留,其他
办暂住证有什么好处吗,其他
什么调戏我可是女的,其他
不过这样更快我其实无所谓啦,其他
你怎么你干嘛给我顶嘴,其他
你想让你妈？,其他
我都不知道什么,其他
我并不知道你打,其他
我想听33块三,其他
我喜欢小梅,高兴
汤可以吗,其他
明天？,其他
拜拜，我要把你给删了,其他
人,其他
你是机器人吗？,其他
两分钟后吃药的提醒一设置两分钟后吃药的提醒一设置,其他
美女啊我声音太小,其他
应该是先简单皮肤效果对吧简单的对我印象不是说不能评估的那个有他的维度的对不起是吧啊,其他
又崩溃了？,其他
又胖,其他
还有绅士的无聊,其他
心情很糟糕也,其他
你要说神马？,其他
我要听一回,其他
我出现问题了，你能帮我吗？,其他
我的老婆啊上班好累啊怎么办呢,其他
"你也优秀的说,亲",高兴
您会做什么？举例,其他
寂寞空虚冷啊你,其他
哈哈，和你开玩笑呢,高兴
你是智能的吗,其他
但是我们只是牵手了，没有接吻是因为他不喜欢我了吗？还是我没有喜欢他呢？,其他
我长什么样子,其他
爆炸30秒前 收到以斯库拉萨司的名义 下达的执行命令,其他
太小了,其他
床上功夫？,其他
红心火龙果能吃吗？,其他
"我能想到最浪漫的事,就是和你一起慢慢变老",其他
那你是飞机场吗,其他
农历一九八二年二月十六日三至五时是什么年月日时,其他
肚子好饿啊你怎么办呢,其他
